Date,CP,B9,B6,B5,SampleID,Longitude,Latitude,TDN_based_ADF,B7,GEMI,B8A,B3,B1,EVI,B11,B4
2022-08-03,4.368763355,3475.0,3229.0,2711.0,61,-54.83844733,-20.44684633,53.1967557,3431.0,-1286978.763216368,3478.0,1885.0,1402.0,0.1477095262883914,3706.0,2375.0
2022-08-03,4.201980296,3412.0,3139.0,2671.0,62,-54.83904833,-20.44640333,52.30018893,3297.0,-1200010.846213519,3395.0,1815.0,1397.0,0.1461910300598636,3552.0,2249.0
2022-08-03,4.278554882,3462.0,3081.0,2653.0,62,-54.83859467,-20.446358,52.86403073,3267.0,-998907.1398124348,3401.0,1777.0,1391.0,0.1341705576128374,3570.0,2245.0
2022-08-03,3.908210472,3407.0,3105.0,2665.0,63,-54.83925533,-20.44625233,55.46456159,3232.0,-1021016.015203418,3394.0,1803.0,1404.0,0.1350492108103486,3568.0,2266.0
2022-08-03,3.997033437,3406.0,3113.0,2670.0,63,-54.83917867,-20.446368,53.11088562,3247.0,-941783.4124246415,3380.0,1815.0,1401.0,0.1293245820591776,3550.0,2294.0
2022-08-03,5.184525929,3490.0,3216.0,2721.0,64,-54.83947833,-20.44671433,55.234959,3408.0,-1346640.4894625875,3552.0,1886.0,1408.0,0.1534107125868138,3777.0,2282.0
2022-08-03,5.097676234,3520.0,3189.0,2761.0,64,-54.83970767,-20.44668167,56.24841714,3375.0,-1070095.6605327749,3546.0,1842.0,1405.0,0.1353762281959253,3888.0,2376.0
2022-08-03,4.66320803,3469.0,3209.0,2740.0,65,-54.83899567,-20.44697667,56.89049791,3389.0,-1339686.4179930163,3614.0,1845.0,1438.0,0.1534522787265846,3652.0,2267.0
2022-08-03,4.753563942,3469.0,3209.0,2740.0,65,-54.83899567,-20.44697667,56.45272487,3389.0,-1339686.4179930163,3614.0,1845.0,1438.0,0.1534522787265846,3652.0,2267.0
2022-08-03,4.255927401,3412.0,3139.0,2671.0,66,-54.83902033,-20.446394,53.14119991,3297.0,-1200010.846213519,3395.0,1815.0,1397.0,0.1461910300598636,3552.0,2249.0
2022-08-03,4.357613312,3412.0,3139.0,2671.0,66,-54.83902033,-20.446394,52.95361742,3297.0,-1200010.846213519,3395.0,1815.0,1397.0,0.1461910300598636,3552.0,2249.0
2022-08-03,5.076250965,3490.0,3216.0,2721.0,67,-54.83950333,-20.446715,54.66282246,3408.0,-1346640.4894625875,3552.0,1886.0,1408.0,0.1534107125868138,3777.0,2282.0
